Taxa.name,genus,species,Mobility.apparatus,size,Colonial,Filament,centric,Gelatinous,aerotopes,Class,Order,MFG.fromtraits
Acanthoceras zachariasi,Acanthoceras,zachariasi,0,large,0,0,1,1,0,Coscinodiscophyceae,Chaetocerotales,6a2-LUniCent
Acanthosphaera,Acanthosphaera,,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Achnanthes catenata,Achnanthes,catenata,1,small,1,1,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes clevei,Achnanthes,clevei,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes coarctata,Achnanthes,coarctata,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes conspicua,Achnanthes,conspicua,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes exigua,Achnanthes,exigua,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes exilis,Achnanthes,exilis,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes flexella,Achnanthes,flexella,1,large,0,0,0,1,0,Bacillariophyceae,Achnanthales,6b2-LUniPenn
Achnanthes lanceolata,Achnanthes,lanceolata,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes minutissima,Achnanthes,minutissima,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthes,Achnanthes,,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthidium catenatum,Achnanthidium,catenatum,1,small,1,1,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achnanthidium minutissimum,Achnanthidium,minutissimum,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Achroonema articulatum,Achroonema,articulatum,0,large,1,1,0,1,0,Cyanophyceae,Oscillatoriales,5a-FilaCyano
Actinastrum aciculare,Actinastrum,aciculare,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Actinastrum gracillimum,Actinastrum,gracillimum,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Actinastrum hantzschii,Actinastrum,hantzschii,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Actinotaenium cruciferum,Actinotaenium,cruciferum,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Actinotaenium,Actinotaenium,,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Amphidinium,Amphidinium,,1,small,0,0,0,1,0,Dinophyceae,Gymnodiniales,2b-SmallDino
Amphikrikos minutissimus,Amphikrikos,minutissimus,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Amphikrikos,Amphikrikos,,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Amphipleura pellucida,Amphipleura,pellucida,1,large,0,0,0,1,0,Bacillariophyceae,Naviculales,6b2-LUniPenn
Amphora coffeaeformis,Amphora,coffeaeformis,1,large,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,6b2-LUniPenn
Amphora copulata,Amphora,copulata,1,large,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,6b2-LUniPenn
Amphora inariensis,Amphora,inariensis,1,small,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,7b-SmallPenn
Amphora libyca,Amphora,libyca,1,large,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,6b2-LUniPenn
Amphora ovalis,Amphora,ovalis,1,large,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,6b2-LUniPenn
Amphora pediculus,Amphora,pediculus,1,small,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,7b-SmallPenn
Amphora,Amphora,,1,large,0,0,0,1,0,Bacillariophyceae,Thalassiophysales,6b2-LUniPenn
Anabaena affinis,Anabaena,affinis,0,large,1,1,0,0,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena aphanizomenoides,Anabaena,aphanizomenoides,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena bergii,Anabaena,bergii,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena bergii limneticum,Anabaena,bergii limneticum,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena circinalis,Anabaena,circinalis,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena circinalis tenuis,Anabaena,circinalis tenuis,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena flos-aquae,Anabaena,flos-aquae,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena flos-aquae lemmermannii,Anabaena,flos-aquae lemmermannii,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
Anabaena flos-aquae treleasii,Anabaena,flos-aquae treleasii,0,large,1,1,0,1,0,Cyanophyceae,Nostocales,5e-Nostocales
