genus,species,MFG,old.new
Acanthosphaera,,9b-SmallChlor,new
Achnanthidium,catenatum,6b1-LColPenn,new
Achnanthidium,minutissimum,7b-SmallPenn,new
Achroonema,articulatum,5a-FilaCyano,new
Actinotaenium,cruciferum,9a-SmallConj,new
Actinotaenium,,9a-SmallConj,new
Amphidinium,,2b-SmallDino,new
Amphikrikos,minutissimus,9b-SmallChlor,new
Amphikrikos,,9b-SmallChlor,new
Amphipleura,pellucida,6b2-LUniPenn,new
Brachysira,neoexilis,7b-SmallPenn,new
Calothrix,,5a-FilaCyano,new
Calycomonas,pascheri,2a-SmallChry1,new
Campylodiscus,noricus,6b2-LUniPenn,new
Centritractus,belenophorus,1c-LargeEugl,new
Mantellum,,5c-OtherChroo,new
cf.,Katodinium,2b-SmallDino,new
Characiaceae,,9b-SmallChlor,new
Chlorellaceae,,9b-SmallChlor,new
Chlorelloidea,,9b-SmallChlor,new
Chlorhormidium,,10a-FilaChlorp,new
Chlorhormidium,subtile,10a-FilaChlorp,new
Chlorolobion,saxatile,11a-NakeChlor,new
Choricystis,chodatii,9b-SmallChlor,new
Choricystis,minor,9b-SmallChlor,new
Choricystis,minor,9b-SmallChlor,new
Chrysastrella,furcata,2a-SmallChry1,new
Coccomyxa,littoralis,9b-SmallChlor,new
Coenochloris,hindakii,11a-NakeChlor,new
Coenochloris,ovalis,11a-NakeChlor,new
Coenochloris,pyrenoideum minimum,11a-NakeChlor,new
Coenochloris,pyrenoidosa,11a-NakeChlor,new
Coenochloris,,11a-NakeChlor,new
Cyanobium,,4-UnicCyano,new
Cyanodictyon,planctonicum,5c-OtherChroo,new
Cyanosarcina,chroococcoides,5c-OtherChroo,new
Cylindrospermum,Bourget03,5e-Nostocales,new
Cymbopleura,lata,7b-SmallPenn,new
Cymbopleura,similiformis,7b-SmallPenn,new
Desmatractum,indutum,9b-SmallChlor,new
Dictyochlorella,reniformis,9b-SmallChlor,new
Didymocystis,bicellularis,11a-NakeChlor,new
Didymocystis,fina,11a-NakeChlor,new
Didymocystis,planctonica,11a-NakeChlor,new
Didymocystis,,11a-NakeChlor,new
Dimorphococcus,cordatus,11a-NakeChlor,new
Dimorphococcus,lunatus,11a-NakeChlor,new
Dinosphaera,palustris,2b-SmallDino,new
Diploneis,elliptica,7b-SmallPenn,new
Diploneis,maulerii,7b-SmallPenn,new
Diploneis,minuta,7b-SmallPenn,new
Diploneis,oblongella,7b-SmallPenn,new
Diploneis,oculata,7b-SmallPenn,new
Diploneis,ovalis,7b-SmallPenn,new
Diploneis,,7b-SmallPenn,new
Diplopsalis,acuta,2b-SmallDino,new
