,genus,species,trait.MFG
59,Acanthosphaera,,9b-SmallChlor
70,Achnanthidium,catenatum,6b1-LColPenn
71,Achnanthidium,minutissimum,7b-SmallPenn
72,Achroonema,articulatum,5a-FilaCyano
76,Actinotaenium,cruciferum,9a-SmallConj
77,Actinotaenium,,9a-SmallConj
78,Amphidinium,,2b-SmallDino
79,Amphikrikos,minutissimus,9b-SmallChlor
80,Amphikrikos,,9b-SmallChlor
81,Amphipleura,pellucida,6b2-LUniPenn
174,Brachysira,neoexilis,7b-SmallPenn
176,Calothrix,,5a-FilaCyano
177,Calycomonas,pascheri,2a-SmallChry1
178,Campylodiscus,noricus,6b2-LUniPenn
187,Centritractus,belenophorus,1c-LargeEugl
189,Mantellum,,5c-OtherChroo
190,cf.,Katodinium,2b-SmallDino
191,Characiaceae,,9b-SmallChlor
210,Chlorellaceae,,9b-SmallChlor
211,Chlorelloidea,,9b-SmallChlor
212,Chlorhormidium,,10a-FilaChlorp
213,Chlorhormidium,subtile,10a-FilaChlorp
215,Chlorolobion,saxatile,11a-NakeChlor
222,Choricystis,chodatii,9b-SmallChlor
223,Choricystis,minor,9b-SmallChlor
224,Choricystis,minor,9b-SmallChlor
240,Chrysastrella,furcata,2a-SmallChry1
273,Coccomyxa,littoralis,9b-SmallChlor
291,Coenochloris,hindakii,11a-NakeChlor
292,Coenochloris,ovalis,11a-NakeChlor
293,Coenochloris,pyrenoideum minimum,11a-NakeChlor
294,Coenochloris,pyrenoidosa,11a-NakeChlor
295,Coenochloris,,11a-NakeChlor
371,Cyanobium,,4-UnicCyano
372,Cyanodictyon,planctonicum,5c-OtherChroo
373,Cyanosarcina,chroococcoides,5c-OtherChroo
404,Cylindrospermum,Bourget03,5e-Nostocales
430,Cymbopleura,lata,7b-SmallPenn
431,Cymbopleura,similiformis,7b-SmallPenn
443,Desmatractum,indutum,9b-SmallChlor
450,Dictyochlorella,reniformis,9b-SmallChlor
458,Didymocystis,bicellularis,11a-NakeChlor
459,Didymocystis,fina,11a-NakeChlor
460,Didymocystis,planctonica,11a-NakeChlor
461,Didymocystis,,11a-NakeChlor
462,Dimorphococcus,cordatus,11a-NakeChlor
463,Dimorphococcus,lunatus,11a-NakeChlor
495,Dinosphaera,palustris,2b-SmallDino
496,Diploneis,elliptica,7b-SmallPenn
497,Diploneis,maulerii,7b-SmallPenn
498,Diploneis,minuta,7b-SmallPenn
499,Diploneis,oblongella,7b-SmallPenn
500,Diploneis,oculata,7b-SmallPenn
501,Diploneis,ovalis,7b-SmallPenn
502,Diploneis,,7b-SmallPenn
503,Diplopsalis,acuta,2b-SmallDino
506,Echinosphaerella,limnetica,9b-SmallChlor
510,Encyonema,minutum,6b1-LColPenn
511,Encyonema,prostratum,6b1-LColPenn
512,Encyonema,reichardtii,6b1-LColPenn
513,Encyonema,silesiacum,6b1-LColPenn
514,Encyonema,triangulum,6b1-LColPenn
515,Encyonopsis,microcephala,6b1-LColPenn
516,Eolimna,minima,7b-SmallPenn
548,Eutetramorus,fottii,11a-NakeChlor
549,Eutetramorus,globosus,11a-NakeChlor
550,Eutetramorus,nygaardii,11a-NakeChlor
551,Eutetramorus,,11a-NakeChlor
552,Fotterella,tetrachlorella,11b-GelaChlor
581,Franceia,amphitricha,9b-SmallChlor
582,Franceia,ovalis,9b-SmallChlor
583,Frustulia,rhomboides,6b1-LColPenn
584,Frustulia,,6b1-LColPenn
585,Geissleria,acceptata,7b-SmallPenn
586,Geissleria,decussis,7b-SmallPenn
587,Geitlerinema,acutissimum,5a-FilaCyano
588,Geitlerinema,amphibium,5a-FilaCyano
589,Geminella,interrupta,10a-FilaChlorp
593,Gloeocapsopsis,,5c-OtherChroo
596,Gloeotila,spiralis,10a-FilaChlorp
599,Golenkiniopsis,chlorelloides,9b-SmallChlor
600,Golenkiniopsis,longispina,9b-SmallChlor
601,Golenkiniopsis,parvula,9b-SmallChlor
602,Golenkiniopsis,solitaria,9b-SmallChlor
603,Golenkiniopsis,,9b-SmallChlor
619,Gomphosphaeria,compacta,5c-OtherChroo
620,Gomphosphaeria,lacustris,5c-OtherChroo
621,Gomphosphaeria,pusilla,5c-OtherChroo
622,Gomphosphaeria,rosea,5c-OtherChroo
623,Gomphosphaeria,,5c-OtherChroo
624,Gonatozygon,brebissonnii,8a-LargeCoCh
625,Gonatozygon,monotaenium,8a-LargeCoCh
632,Gonyaulax,apiculata,2b-SmallDino
633,Granulocystis,helenae,11a-NakeChlor
634,Granulocystopsis,coronata,11a-NakeChlor
635,Granulocystopsis,pseudocoronata,11a-NakeChlor
661,Heleochloris,pallida,11a-NakeChlor
664,Hyaloraphidium,contortum,9b-SmallChlor
665,Hyalotheca,dissiliens,10b-FilaConj
667,Jaaginema,geminatum,5a-FilaCyano
693,Komvophoron,,5a-FilaCyano
694,Komvophoron,constrictum,5a-FilaCyano
696,Komvophoron,schmidlei,5a-FilaCyano
697,Komvophoron,,5a-FilaCyano
698,Komvophoron,,5a-FilaCyano
715,Lemmermanniella,parva,5c-OtherChroo
716,Lemmermanniella,,5c-OtherChroo
718,Leptolyngbya,lagerheimii,5a-FilaCyano
719,Leptolyngbya,,5a-FilaCyano
720,Leptolyngbya,,5a-FilaCyano
721,Leptolyngbya,,5a-FilaCyano
722,Leptolyngbya,valderiana,5a-FilaCyano
728,Limnotrix,,5a-FilaCyano
729,Lobocystis,,11a-NakeChlor
730,Luticola,cohnii,7b-SmallPenn
