"phyto_name","genus","species","exact.match","accepted","synonyms","orig.name","match.name","Empire","Kingdom","Phylum","Class","Order","Family"
"Cyclotella","Cyclotella","","1","0","Lindavia,Pantocsekiella,Cyclostephanos","Cyclotella","Cyclotella","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Aulacoseira larger",NA,NA,"0","0",NA,"Aulacoseira larger","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Aulacoseira smaller","Aulacoseira","nivalis","0","1","","Aulacoseira smaller","Aulacoseira nivalis","Eukaryota","Chromista","Bacillariophyta","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae"
"Nitzschia smallest",NA,NA,"0","0",NA,"Nitzschia smallest",NA,NA,NA,NA,NA,NA,NA
"Nitzschia aciculate",NA,NA,"0","0",NA,"Nitzschia aciculate","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Nitzschia largest",NA,NA,"0","0",NA,"Nitzschia largest","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Stephanodiscus","Stephanodiscus","","1","0","Cyclostephanos","Stephanodiscus","Stephanodiscus","Eukaryota","Chromista","Bacillariophyta","Mediophyceae","Stephanodiscales","Stephanodiscaceae"
"Synedra large",NA,NA,"0","0",NA,"Synedra large","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Achnanthes","Achnanthes","","1","0","Psammothidium,Achnanthidium,Eucocconeis","Achnanthes","Achnanthes","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Mastogloiales","Achnanthaceae"
"Navicula",NA,NA,"0","0",NA,"Navicula ",NA,NA,NA,NA,NA,NA,NA
"Cymbella","Cymbella","","1","0","Encyonopsis,Reimeria","Cymbella","Cymbella","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Cymbellaceae"
"Gomphonema","Gomphonema","","1","0","Rhoicosphenia","Gomphonema","Gomphonema","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae"
"Aulacoseira giant",NA,NA,"0","0",NA,"Aulacoseira giant","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Synedra small",NA,NA,"0","0",NA,"Synedra small","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Cryptomonas ovata","Cryptomonas","ovata","1","1","","Cryptomonas ovata","Cryptomonas ovata","Eukaryota","Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae"
"Cryptomonas","Cryptomonas","","1","0","Rhodomonas,Teleaulax,Hillea","Cryptomonas","Cryptomonas","Eukaryota","Chromista","Cryptophyta","Cryptophyceae","Cryptomonadales","Cryptomonadaceae"
"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","1","1","","Plagioselmis nannoplanctica","Plagioselmis nannoplanctica","Eukaryota","Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Geminigeraceae"
"Dolichospermum","Dolichospermum","","1","0","Anabaena","Dolichospermum","Dolichospermum","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
"Anabaenopsis","Anabaenopsis","","1","1","","Anabaenopsis","Anabaenopsis","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
"Aphanocapsa","Aphanocapsa","","1","0","Chroococcus,Porphyridium","Aphanocapsa","Aphanocapsa","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Botryococcus","Botryococcus","","1","0","Botryosphaerella","Botryococcus","Botryococcus","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Trebouxiales","Botryococcaceae"
"Chroococcus small round",NA,NA,"0","0",NA,"Chroococcus small+round",NA,NA,NA,NA,NA,NA,NA
"Chroococcus large round",NA,NA,"0","0",NA,"Chroococcus large+round",NA,NA,NA,NA,NA,NA,NA
"Chroococcus large square",NA,NA,"0","0",NA,"Chroococcus large+square",NA,NA,NA,NA,NA,NA,NA
"Cylindrospermopsis","Cylindrospermopsis","","1","0","Raphidiopsis","Cylindrospermopsis","Cylindrospermopsis","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
