"","genus","species","MFG","genspp","source"
"6510","Chlorella","","9b-SmallChlor","Chlorella sp.","Salmaso & Padisak 2007"
"4081","Pteromonas","","3a-UnicPhyto","Pteromonas","Tolotti et al. 2010"
"4511","Tetrachlorella","","9b-SmallChlor","Tetrachlorella","Tolotti et al. 2010"
"2162","2","cell","NA","2 cell","description"
"1100","Acanthoceras","zachariasii","6a2-LUniCent","Acanthoceras zachariasii","Salmaso Geisha Powell Center Workshop"
"1","Acanthosphaera","","9b-SmallChlor","Acanthosphaera","Salmaso Geisha Powell Center Workshop"
"499","Achnanthes","","7b-SmallPenn","Achnanthes","Salmaso & Padisak 2007"
"6610","Achnanthes","exigua","7b-SmallPenn","Achnanthes exigua","Salmaso & Padisak 2007"
"6710","Achnanthes","lanceolata","7b-SmallPenn","Achnanthes lanceolata","Salmaso & Padisak 2007"
"6810","Achnanthes","minutissima","7b-SmallPenn","Achnanthes minutissima","Salmaso & Padisak 2007"
"3641","Achnanthes","","7b-SmallPenn","Achnanthes","Li et al. 2018"
"2","Achnanthidium","catenatum","6b1-LColPenn","Achnanthidium catenatum","Salmaso Geisha Powell Center Workshop"
"378","Achnanthidium","minutissimum","7b-SmallPenn","Achnanthidium minutissimum","Salmaso Geisha Powell Center Workshop"
"4701","Achnanthidium","minutissimum complex","7b-SmallPenn","Achnanthidium minutissimum complex","Salmaso Geisha Powell Center Workshop"
"1103","Achnanthidium","","7b-SmallPenn","Achnanthidium","Rimet et al. 2018"
"2102","Achnanthidium","exiguum","7b-SmallPenn","Achnanthidium exiguum","Rimet et al. 2018"
"323","Achroonema","articulatum","5a-FilaCyano","Achroonema articulatum","Rimet et al. 2018"
"571","Actinastrum","hantzschii","1a-LargeChry","Actinastrum hantzschii","Salmaso Geisha Powell Center Workshop"
"572","Actinastrum","","1a-LargeChry","Actinastrum","Salmaso Geisha Powell Center Workshop"
"3451","Actinastrum","","1b-LargeDino","Actinastrum","Li et al. 2018"
"4561","Actinastrum","","1a-LargeChry","Actinastrum","Tolotti et al. 2010"
"514","Actinocyclus","","6a2-LUniCent","Actinocyclus","Salmaso Geisha Powell Center Workshop"
"5","Actinotaenium","cruciferum","9a-SmallConj","Actinotaenium cruciferum","Algaebase"
"6","Actinotaenium","","9a-SmallConj","Actinotaenium","Algaebase"
"541","Acutodesmus","acuminatus","9b-SmallChlor","Acutodesmus acuminatus","Li et al. 2018"
"3051","Acutodesmus","dimorphus","1a-LargeChry","Acutodesmus dimorphus","Li et al. 2018"
"7","Amphidinium","","2b-SmallDino","Amphidinium","Phytopedia"
"8","Amphikrikos","minutissimus","9b-SmallChlor","Amphikrikos minutissimus","Algaebase"
"9","Amphikrikos","","9b-SmallChlor","Amphikrikos","Algaebase"
"10","Amphipleura","pellucida","6b2-LUniPenn","Amphipleura pellucida","Western Diatoms of North America"
"7010","Amphora","ovalis","6b","Amphora ovalis","Salmaso & Padisak 2007"
"7110","Amphora","ovalis pediculus","6b","Amphora ovalis pediculus","Salmaso & Padisak 2007"
"7210","Amphora","pediculus","6b","Amphora pediculus","Salmaso & Padisak 2007"
"4401","Amphora","inariensis","7b-SmallPenn","Amphora inariensis","Tolotti et al. 2010"
"410","Amphora","","6b2-LUniPenn","Amphora","Rimet et al. 2018"
"515","Amphora","copulata","6b2-LUniPenn","Amphora copulata","Rimet et al. 2018"
"415","Anabaena","","5e-Nostocales","Anabaena","Salmaso & Padisak 2007"
"4311","Anabaena","lemmermannii","5e","Anabaena lemmermannii","Salmaso & Padisak 2007"
"7310","Anabaena","circinalis","5e","Anabaena circinalis","Salmaso & Padisak 2007"
"7510","Anabaena","mendotae","5e","Anabaena mendotae","Salmaso & Padisak 2007"
"767","Anabaena","","5e","Anabaena","Salmaso & Padisak 2007"
"2931","Anabaena","","5e-Nostocales","Anabaena","Li et al. 2018"
"4181","Anabaena","","5a-FilaCyano","Anabaena","Tolotti et al. 2010"
"4741","Anabaena","","5e-Nostocales","Anabaena","Salmaso Geisha Powell Center Workshop"
"810","Anabaenopsis","","5e-Nostocales","Anabaenopsis","Salmaso Geisha Powell Center Workshop"
"6102","Anagnostidinema","acutissimum","5a-FilaCyano","Anagnostidinema acutissimum","Rimet et al. 2018"
"768","Anagnostidinema","amphibium","5a-FilaCyano","Anagnostidinema amphibium","Rimet et al. 2018"
"814","Anathece","bachmannii","5c-OtherChroo","Anathece bachmannii","Rimet et al. 2018"
"914","Anathece","clathrata","5c-OtherChroo","Anathece clathrata","Rimet et al. 2018"
"1014","Anathece","smithii","5c-OtherChroo","Anathece smithii","Rimet et al. 2018"
"197","Ankistrodesmus","","1a-LargeChry","Ankistrodesmus","Salmaso Geisha Powell Center Workshop"
"543","Ankistrodesmus","falcatus","9b-SmallChlor","Ankistrodesmus falcatus","Salmaso Geisha Powell Center Workshop"
"772","Ankistrodesmus","arcuatus","9b-SmallChlor","Ankistrodesmus arcuatus","Salmaso & Padisak 2007"
"3061","Ankistrodesmus","","1a-LargeChry","Ankistrodesmus","Li et al. 2018"
"544","Ankyra","ancora","9b-SmallChlor","Ankyra ancora","Salmaso Geisha Powell Center Workshop"
"546","Ankyra","","9b-SmallChlor","Ankyra","Salmaso Geisha Powell Center Workshop"
"6110","Ankyra","judayi","9b-SmallChlor","Ankyra judayi","Salmaso & Padisak 2007"
"782","Ankyra","","9b-SmallChlor","Ankyra","Salmaso & Padisak 2007"
"1113","Anomoeoneis","","6b2-LUniPenn","Anomoeoneis","Western Diatoms of North America"
"1210","Aphanizomenon","","5e-Nostocales","Aphanizomenon","Salmaso Geisha Powell Center Workshop"
"792","Aphanizomenon","flos-aquae","5e","Aphanizomenon flos-aquae","Salmaso & Padisak 2007"
"4781","Aphanizomenon","issatschenkoi =","5e-Nostocales","Aphanizomenon issatschenkoi =","Salmaso Geisha Powell Center Workshop"
"1310","Aphanocapsa","","5c-OtherChroo","Aphanocapsa","Salmaso Geisha Powell Center Workshop"
"802","Aphanocapsa","grevillei","5c-OtherChroo","Aphanocapsa grevillei","Salmaso & Padisak 2007"
"398","Aphanothece","","5c-OtherChroo","Aphanothece","Salmaso Geisha Powell Center Workshop"
"4011","Aphanothece","","5c-OtherChroo","Aphanothece","Salmaso & Padisak 2007"
"1214","Aphanothecoidea","","5d-SmallChroo","Aphanothecoidea","Rimet et al. 2018"
"1314","Apiocystis","","3b-ColoPhyto","Apiocystis","Algaebase"
