genus,species,MFG,genspp,source
Chlorella,,9b-SmallChlor,Chlorella,Salmaso & Padisak 2007
Pteromonas,,3a-UnicPhyto,Pteromonas,Tolotti et al. 2010
Tetrachlorella,,9b-SmallChlor,Tetrachlorella,Tolotti et al. 2010
Acanthoceras,zachariasii,6a2-LUniCent,Acanthoceras zachariasii,Salmaso Geisha Powell Center Workshop
Acanthosphaera,,9b-SmallChlor,Acanthosphaera,Salmaso Geisha Powell Center Workshop
Achnanthes,,7b-SmallPenn,Achnanthes,Salmaso & Padisak 2007
Achnanthes,exigua,7b-SmallPenn,Achnanthes exigua,Salmaso & Padisak 2007
Achnanthes,lanceolata,7b-SmallPenn,Achnanthes lanceolata,Salmaso & Padisak 2007
Achnanthes,minutissima,7b-SmallPenn,Achnanthes minutissima,Salmaso & Padisak 2007
Achnanthidium,catenatum,6b1-LColPenn,Achnanthidium catenatum,Salmaso Geisha Powell Center Workshop
Achnanthidium,minutissimum,7b-SmallPenn,Achnanthidium minutissimum,Salmaso Geisha Powell Center Workshop
Achnanthidium,minutissimum complex,7b-SmallPenn,Achnanthidium minutissimum complex,Salmaso Geisha Powell Center Workshop
Achnanthidium,,7b-SmallPenn,Achnanthidium,Rimet et al. 2018
Achnanthidium,exiguum,7b-SmallPenn,Achnanthidium exiguum,Rimet et al. 2018
Achroonema,articulatum,5a-FilaCyano,Achroonema articulatum,Rimet et al. 2018
Actinastrum,hantzschii,11a-NakeChlor,Actinastrum hantzschii,Salmaso Geisha Powell Center Workshop
Actinastrum,,11b-GelaChlor,Actinastrum,Salmaso Geisha Powell Center Workshop
Actinocyclus,,6a2-LUniCent,Actinocyclus,Salmaso Geisha Powell Center Workshop
Actinotaenium,cruciferum,9a-SmallConj,Actinotaenium cruciferum,Algaebase
Actinotaenium,,9a-SmallConj,Actinotaenium,Algaebase
Acutodesmus,acuminatus,9b-SmallChlor,Acutodesmus acuminatus,Li et al. 2018
Acutodesmus,dimorphus,11a-NakeChlor,Acutodesmus dimorphus,Li et al. 2018
Amphidinium,,2b-SmallDino,Amphidinium,Phytopedia
Amphikrikos,minutissimus,9b-SmallChlor,Amphikrikos minutissimus,Algaebase
Amphikrikos,,9b-SmallChlor,Amphikrikos,Algaebase
Amphipleura,pellucida,6b2-LUniPenn,Amphipleura pellucida,Western Diatoms of North America
Amphora,ovalis,6b1-LColPenn,Amphora ovalis,Salmaso & Padisak 2007
Amphora,ovalis pediculus,6b1-LColPenn,Amphora ovalis pediculus,Salmaso & Padisak 2007
Amphora,pediculus,6b1-LColPenn,Amphora pediculus,Salmaso & Padisak 2007
Amphora,inariensis,7b-SmallPenn,Amphora inariensis,Tolotti et al. 2010
Amphora,,6b2-LUniPenn,Amphora,Rimet et al. 2018
Amphora,copulata,6b2-LUniPenn,Amphora copulata,Rimet et al. 2018
Anabaena,,5e-Nostocales,Anabaena,Salmaso & Padisak 2007
Anabaena,lemmermannii,5e-Nostocales,Anabaena lemmermannii,Salmaso & Padisak 2007
Anabaena,circinalis,5e-Nostocales,Anabaena circinalis,Salmaso & Padisak 2007
Anabaena,mendotae,5e-Nostocales,Anabaena mendotae,Salmaso & Padisak 2007
Anabaenopsis,,5e-Nostocales,Anabaenopsis,Salmaso Geisha Powell Center Workshop
Anagnostidinema,acutissimum,5a-FilaCyano,Anagnostidinema acutissimum,Rimet et al. 2018
Anagnostidinema,amphibium,5a-FilaCyano,Anagnostidinema amphibium,Rimet et al. 2018
Anathece,bachmannii,5c-OtherChroo,Anathece bachmannii,Rimet et al. 2018
Anathece,clathrata,5c-OtherChroo,Anathece clathrata,Rimet et al. 2018
Anathece,smithii,5c-OtherChroo,Anathece smithii,Rimet et al. 2018
Ankistrodesmus,,11a-NakeChlor,Ankistrodesmus,Salmaso Geisha Powell Center Workshop
Ankistrodesmus,falcatus,9b-SmallChlor,Ankistrodesmus falcatus,Salmaso Geisha Powell Center Workshop
Ankistrodesmus,arcuatus,9b-SmallChlor,Ankistrodesmus arcuatus,Salmaso & Padisak 2007
Ankyra,ancora,9b-SmallChlor,Ankyra ancora,Salmaso Geisha Powell Center Workshop
Ankyra,,9b-SmallChlor,Ankyra,Salmaso Geisha Powell Center Workshop
Ankyra,judayi,9b-SmallChlor,Ankyra judayi,Salmaso & Padisak 2007
Anomoeoneis,,6b2-LUniPenn,Anomoeoneis,Western Diatoms of North America
Aphanizomenon,,5e-Nostocales,Aphanizomenon,Salmaso Geisha Powell Center Workshop
Aphanizomenon,flos-aquae,5e-Nostocales,Aphanizomenon flos-aquae,Salmaso & Padisak 2007
Aphanizomenon,issatschenkoi =,5e-Nostocales,Aphanizomenon issatschenkoi =,Salmaso Geisha Powell Center Workshop
Aphanocapsa,,5c-OtherChroo,Aphanocapsa,Salmaso Geisha Powell Center Workshop
Aphanocapsa,grevillei,5c-OtherChroo,Aphanocapsa grevillei,Salmaso & Padisak 2007
Aphanothece,,5c-OtherChroo,Aphanothece,Salmaso Geisha Powell Center Workshop
Aphanothecoidea,,5d-SmallChroo,Aphanothecoidea,Rimet et al. 2018
Apiocystis,,3b-ColoPhyto,Apiocystis,Algaebase
Apocalathium,aciculiferum,1b-LargeDino,Apocalathium aciculiferum,Rimet et al. 2018
Apodococcus,guanensis,9b-SmallChlor,Apodococcus guanensis,Salmaso & Padisak 2007
Arthrodesmus,,8a-LargeCoCh,Arthrodesmus,Salmaso Geisha Powell Center Workshop
Arthrospira,,5a-FilaCyano,Arthrospira,Salmaso Geisha Powell Center Workshop
