phyto_name,match.name,genus,species,MFG,MFG2,mld,source
Acanthoceras zachariasii,Acanthoceras zachariasii,Acanthoceras,zachariasii,NA,NA,,
Achnanthidium exiguum,Lemnicola exigua,Lemnicola,exigua,NA,NA,,
Actinocyclus,Actinocyclus,Actinocyclus,,NA,NA,,
Actinocyclus normanii,Actinocyclus normanii,Actinocyclus,normanii,NA,NA,,
Acutodesmus acuminatus,Tetradesmus lagerheimii,Tetradesmus,lagerheimii,9b-SmallChlor,9b-SmallChlor,,
Anabaenopsis,Anabaenopsis,Anabaenopsis,,5e-Nostocales,5e-Nostocales,2.4,morabito et al. 2010
Anabaenopsis circularis,Anabaenopsis circularis,Anabaenopsis,circularis,5e-Nostocales,5e-Nostocales,2.4,morabito et al. 2010
Anabaenopsis tanganyikae,Anabaenopsis tanganyikae,Anabaenopsis,tanganyikae,NA,NA,,
Anagnostidinema acutissimum,Anagnostidinema acutissimum,Anagnostidinema,acutissimum,NA,NA,,
Anagnostidinema amphibium,Anagnostidinema amphibium,Anagnostidinema,amphibium,NA,NA,,
Anathece clathrata,Anathece clathrata,Anathece,clathrata,NA,NA,,
Ankistrodesmus gracilis,Messastrum gracile,Messastrum,gracile,11a-NakeChlor,11a-NakeChlor,,
Aphanothece clathrata,Anathece clathrata,Anathece,clathrata,11a-NakeChlor,5c-OtherChroo,,
Attheya zachariasii,Acanthoceras zachariasii,Acanthoceras,zachariasii,11a-NakeChlor,6a2-LUniCent,,
Bacillaria paxillifera,Bacillaria paxillifera,Bacillaria,paxillifera,NA,NA,,
Belonastrum berolinense,Belonastrum berolinense,Belonastrum,berolinense,NA,NA,,
Bicosoeca,Bicosoeca,Bicosoeca,,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca ainikkiae,Bicosoeca ainikkiae,Bicosoeca,ainikkiae,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca campanulata,Bicosoeca campanulata,Bicosoeca,campanulata,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca lacustris,Bicosoeca lacustris,Bicosoeca,lacustris,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca ovata,Bicosoeca ovata,Bicosoeca,ovata,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca planctonica,Bicosoeca planctonica,Bicosoeca,planctonica,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca planktonica,Bicosoeca planktonica,Bicosoeca,planktonica,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
Bicosoeca stellata,Bicosoeca stellata,Bicosoeca,stellata,1a-LargeChry,1a-LargeChry,0.9,morabito et al. 2010
