"","biovol_um3_ml","date_dd_mm_yy","lake","month","phyto_name","year"
"73",100,"04-04-05","Geneva","April","Monoraphidium convolutum",2005
"207",302700,"22-08-05","Geneva","August","Ceratium hirundinella",2005
"454",66700,"04-09-06","Geneva","September","Aphanizomenon flos-aquae",2006
"233",999000,"05-09-05","Geneva","September","Peridinium willei",2005
"248",7900,"05-09-05","Geneva","September","Sphaerocystis schroeteri",2005
"337",107100,"19-12-05","Geneva","December","Eudorina elegans",2005
"117",6500,"06-06-05","Geneva","June","Fragilaria crotonensis",2005
"554",1700,"20-11-06","Geneva","November","Chlamydomonas globosa",2006
"151",38700,"04-07-05","Geneva","July","Plagioselmis nannoplanctica",2005
"277",186500,"27-09-05","Geneva","September","Mougeotia gracillima",2005
"464",25700,"04-09-06","Geneva","September","Stephanodiscus neoastraea",2006
"161",3400,"04-07-05","Geneva","July","Hyaloraphidium contortum",2005
"39",1000,"08-03-05","Geneva","March","Monoraphidium minutum",2005
"237",44100,"05-09-05","Geneva","September","Plagioselmis lacustris",2005
"511",800,"17-10-06","Geneva","October","Gymnodinium lantzschii",2006
"238",24200,"05-09-05","Geneva","September","Dinobryon divergens",2005
"33",51500,"08-03-05","Geneva","March","Stephanodiscus neoastraea",2005
"418",7900,"04-07-06","Geneva","July","Sphaerocystis schroeteri",2006
"172",19500,"18-07-05","Geneva","July","Fragilaria crotonensis",2005
"369",2000,"27-03-06","Geneva","March","Asterionella formosa",2006
"528",151400,"07-11-06","Geneva","November","Ceratium hirundinella",2006
"45",60400,"21-03-05","Geneva","March","Plagioselmis nannoplanctica",2005
"108",78300,"06-06-05","Geneva","June","Oscillatoria janus",2005
"35",62700,"08-03-05","Geneva","March","Diatoma tenuis",2005
"388",14300,"15-05-06","Geneva","May","Plagioselmis nannoplanctica",2006
"279",667500,"10-10-05","Geneva","October","Planktothrix rubescens",2005
"436",13300,"17-08-06","Geneva","August","Synechococcus elongatus",2006
"201",109000,"09-08-05","Geneva","August","Staurastrum cingulum",2005
"188",36100,"09-08-05","Geneva","August","Plagioselmis lacustris",2005
"59",13800,"04-04-05","Geneva","April","Pseudanabaena limnetica",2005
"536",11500,"07-11-06","Geneva","November","Chlamydomonas",2006
"531",18000,"07-11-06","Geneva","November","Plagioselmis lacustris",2006
"437",3700,"17-08-06","Geneva","August","Gymnodinium",2006
"143",58300,"20-06-05","Geneva","June","Mougeotia gracillima",2005
"267",1000,"27-09-05","Geneva","September","Ochromonas",2005
"278",112000,"27-09-05","Geneva","September","Closterium aciculare",2005
"463",700,"04-09-06","Geneva","September","Ochromonas",2006
"346",2400,"09-01-06","Geneva","January","Plagioselmis nannoplanctica",2006
"250",26400,"05-09-05","Geneva","September","Monoraphidium convolutum",2005
"22",27200,"07-02-05","Geneva","February","Diatoma ehrenbergii",2005
"544",16400,"20-11-06","Geneva","November","Pseudanabaena limnetica",2006
"247",1600,"05-09-05","Geneva","September","Phacotus lendneri",2005
"328",40900,"19-12-05","Geneva","December","Cryptomonas",2005
"514",8200,"17-10-06","Geneva","October","Plagioselmis nannoplanctica",2006
"84",3300,"26-04-05","Geneva","April","Fragilaria crotonensis",2005
"275",41600,"27-09-05","Geneva","September","Monoraphidium convolutum",2005
"427",25400,"18-07-06","Geneva","July","Chlamydomonas conica",2006
"19",14000,"07-02-05","Geneva","February","Plagioselmis lacustris",2005
"359",12000,"15-03-06","Geneva","March","Plagioselmis lacustris",2006
"352",42400,"06-02-06","Geneva","February","Planktothrix rubescens",2006
