Species,surface area,volume,mld
Anabaena catenula,11540,135700,300
Anabaena circinalis,6200,29000,75
Anabaena spiroides,6000,28000,70
Ankistrodesmus fusiformis,946.4,854.5,20
Aphanizomenon flos-aquae,990,610,125
Asterionella formas,6690,5160,130
Aulacoseira,4350,2970,240
Ceratium hirudinella,9600,43700,201
Chlamydocapsa,3848,22450,35
Closterium,1728,2618,100
Colonial green sp.,775,720,45
Cryptomonas,1030,2710,21
Dictyosphaerium pulchellum,1540,900,40
Dinobryon,5350,7000,145
Elaktothrix,4050,16760,80
Eudorina,53100,1150000,130
Fragilaria crotonensis,11950,8100,70
Gonium,19940,256600,100
Kirchneriella,4020,5362,65
Microcystis,7854,65450,50
Monoraphidium contortum,230,163,23
Monoraphidium griffithii,573.3,22.5,68
Oocystis,5030,33500,40
Osscilatoria,350.7,229,40
Pandorina,7850,65450,50
Paulschulzia,119500,3882000,195
Peridinium,252.88,368.6,11
Rhodomonas,108,72,11
Scenedesmus,404,280,11
Small flagellates,113,113,6
Small non-flagellates,50,33,4
Sphaerocystis schroeteri,6650,51000,46
Staurastrum,9167,27020,100
Staurodesmus,1430,3900,35
Synedra berolinensis,1464,540,62
Synedra rumpens,800,768,48
Synedra (Large),1792,1760,110
Synedra (Small),328,160,40
Tabelleria fenestrata,9800,13800,96
Volvox,636000,47700000,450
Woronichinia,5026.5,33510,40
