Taxa.name,Class,Order,Motile,Heterotrophic,Mixotrophic,Autotrophic,Small.Large,Filament,Colonial,Geometrical.shape.of.the.cell,Centric,aerotopes,size,genus,species,Gelatinous
Acanthoceras zachariasi,Coscinodiscophyceae,Chaetocerotales,0,0,1,0,Microphytoplancton,0,0,box,NA,0,large,Acanthoceras,zachariasi,0
Acanthosphaera sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,sphe,NA,0,small,Acanthosphaera,,0
Achnanthes catenata,Bacillariophyceae,Achnanthales,1,0,1,0,Nanophytoplancton,1,1,box,0,0,small,Achnanthes,catenata,0
Achnanthes clevei,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Achnanthes,clevei,0
Achnanthes coarctata,Bacillariophyceae,Achnanthales,1,0,1,0,Nanophytoplancton,0,0,box,0,0,small,Achnanthes,coarctata,0
Achnanthes conspicua,Bacillariophyceae,Achnanthales,1,0,1,0,Nanophytoplancton,0,0,box,0,0,small,Achnanthes,conspicua,0
Achnanthes exigua,Bacillariophyceae,Achnanthales,1,0,1,0,Nanophytoplancton,0,0,box,0,0,small,Achnanthes,exigua,0
Achnanthes exilis,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Achnanthes,exilis,0
Achnanthes flexella,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Achnanthes,flexella,0
Achnanthes lanceolata,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Achnanthes,lanceolata,0
Achnanthes minutissima,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Achnanthes,minutissima,0
Achnanthes sp.,Bacillariophyceae,Achnanthales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Achnanthes,,0
Achnanthidium catenatum,Bacillariophyceae,Achnanthales,1,0,1,0,Nanophytoplancton,1,1,box,NA,0,small,Achnanthidium,catenatum,0
Achnanthidium minutissimum,Bacillariophyceae,Achnanthales,1,0,1,0,Nanophytoplancton,0,0,box,NA,0,small,Achnanthidium,minutissimum,0
Achroonema articulatum,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,trel,NA,0,large,Achroonema,articulatum,0
Actinastrum aciculare,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,con,0,0,large,Actinastrum,aciculare,1
