phyto_name,Empire,Kingdom,Phylum,Class,Order,Family,volume.um3,surface.area.um2,Colonial,SAV,MLD,MSV
Aulacoseira,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,904.32,644,1,0.712137297,100,71.21372965
Chroococcus,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,10240,14848,1,1.45,60,87
Cosmarium,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,10601.43,880,0,0.08300767,37,3.07128378
Cryptomonas,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,1368.5,291,0,0.212641578,22,4.678114724
Cyclotella,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,98.13,844,0,8.600835626,5,43.00417813
Eudorina elegans,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,76302,25434,1,0.333333333,70,23.33333333
Fragilaria acus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,560,677,0,1.208928571,35,42.3125
Gymnodinium,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,3611,656,0,0.181667128,20,3.633342564
Lyngbya,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,5024,2612.48,1,0.52,100,52
Mallomonas,Eukaryota,Chromista,Ochrophyta,Synurophyceae,Synurales,Mallomonadaceae,785.4,157,0,0.199898141,15,2.998472116
Microcystis aeruginosa,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,5236,31400,1,5.996944232,100,599.6944232
Monactinus simplex,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,235500,31425.12,1,0.13344,100,13.344
Mougeotia,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Zygnematales,Zygnemataceae,2544.7,102,1,0.04008331,100,4.008331041
Nitzschia,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,784,70,0,0.089285714,49,4.375
Peridinium,Eukaryota,Chromista,Miozoa,Dinophyceae,Peridiniales,Peridiniaceae,9188.0325,707,0,0.076947921,27,2.07759387
Pseudopediastrum boryanum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,794812.5,70675.12,1,0.088920494,150,13.33807407
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,640,750,1,1.171875,20,23.4375
Ankistrodesmus arcuatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,67.52,36,0,0.533175355,32,17.06161137
Ankyra,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,169,492,0,2.911242604,6,17.46745562
Aphanocapsa delicatissima,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,17950.33333,47800.4,1,2.66292548,70,186.4047836
Aphanocapsa elachista,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,314.2,2211.34,1,7.038001273,15,105.5700191
Aphanocapsa planctonica,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,23445.33,15624.05,1,0.666403501,50,33.32017506
Aulacoseira,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,904.32,644,1,0.712137297,100,71.21372965
Chlamydomonas proboscigera,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,4188.8,516,0,0.123185638,20,2.463712758
Chroococcus,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,10240,14848,1,1.45,60,87
Closterium limneticum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,3170,384,0,0.121135647,167.5,20.29022082
Cosmarium,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,10601.43,880,0,0.08300767,37,3.07128378
Cryptomonas,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,1368.5,291,0,0.212641578,22,4.678114724
Cyclotella,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,98.13,844,0,8.600835626,5,43.00417813
Dinobryon,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,1150,201,0,0.174782609,13,2.272173913
Dinobryon cylindricum,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,805.8,733,1,0.909655001,100,90.96550012
Dinobryon divergens,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,805.8,733,1,0.909655001,150,136.4482502
Eudorina elegans,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,76302,25434,1,0.333333333,70,23.33333333
Fragilaria acus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,560,677,0,1.208928571,35,42.3125
Gymnodinium,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,3611,656,0,0.181667128,20,3.633342564
Lyngbya,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,5024,2612.48,1,0.52,100,52
Mallomonas,Eukaryota,Chromista,Ochrophyta,Synurophyceae,Synurales,Mallomonadaceae,785.4,157,0,0.199898141,15,2.998472116
Microcystis aeruginosa,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,5236,31400,1,5.996944232,100,599.6944232
Monactinus simplex,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,235500,31425.12,1,0.13344,100,13.344
Mougeotia,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Zygnematales,Zygnemataceae,2544.7,102,1,0.04008331,100,4.008331041
Nitzschia,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,784,70,0,0.089285714,49,4.375
Peridinium,Eukaryota,Chromista,Miozoa,Dinophyceae,Peridiniales,Peridiniaceae,9188.0325,707,0,0.076947921,27,2.07759387
Pseudopediastrum boryanum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,794812.5,70675.12,1,0.088920494,150,13.33807407
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,640,750,1,1.171875,20,23.4375
Synedra,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,90,356,1,3.955555556,15,59.33333333
Tetraedron,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,1458,607,0,0.416323731,18,7.49382716
