MFG.num,phyto_name,Algaebase_Current_21Aug2017,Match.,Notes,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
10a,Planktonema sp,Planctonema,FALSE,Mis-spelling,Planctonema,,10a-FilaChlorp,R,0,1,NA,1,NA,NA,NA,1
11a,Actinastrum spp,Actinastrum,FALSE,,Actinastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus opoliensis,Desmodesmus opoliensis,FALSE,,Desmodesmus,opoliensis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus quadricauda,Scenedesmus quadricauda,TRUE,,Scenedesmus,quadricauda,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus spinosus,Desmodesmus spinosus,FALSE,,Desmodesmus,spinosus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum kawraiskyi,Pseudopediastrum kawraiskyi,FALSE,,Pseudopediastrum,kawraiskyi,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum tetras,Stauridium tetras,FALSE,,Stauridium,tetras,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum boryanum,Pseudopediastrum boryanum,FALSE,,Pseudopediastrum,boryanum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum duplex,Pediastrum duplex,TRUE,,Pediastrum,duplex,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Lobocystis neodichotoma,Lobocystis neodichotoma,TRUE,,Lobocystis,neodichotoma,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus obtusus,Scenedesmus obtusus,TRUE,,Scenedesmus,obtusus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pedistrum musteri,Pediastrum musteri,FALSE,,Pediastrum,musteri,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus ecornis,Scenedesmus ecornis,TRUE,,Scenedesmus,ecornis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scencedesmus intermedius,Desmodesmus intermedius,FALSE,Mis-spelling,Desmodesmus,intermedius,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scnedesmus bicaudatus,Desmodesmus bicaudatus,FALSE,Mis-spelling and new name in Algaebase,Desmodesmus,bicaudatus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Tetrastrum elenkini,Tetrastrum,FALSE,No one has heard of this species,Tetrastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus linearis,Scenedesmus ellipticus,FALSE,,Scenedesmus,ellipticus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Tetrastrum staurogeniaeforme,Tetrastrum staurogeniaeforme,TRUE,,Tetrastrum,staurogeniaeforme,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11b,Kirchneriella contorta,Raphidocelis danubiana,FALSE,,Raphidocelis,danubiana,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Oocystis spp,Oocystis,FALSE,,Oocystis,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Dictyosphaerium spp,Dictyosphaerium,FALSE,,Dictyosphaerium,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Tetrastrum triangulare,Lemmermannia triangularis,FALSE,,Lemmermannia,triangularis,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
