MFG.num,phyto_name,Algaebase_Current_17Aug2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
10b,Mougeotia spp.,Mougeotia,FALSE,Mougeotia,,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
10b,Spondylosium spp.,Spondylosium,FALSE,Spondylosium,,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
11a,Scenedesmus spp.,Scenedesmus,FALSE,Scenedesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Tetrastrum spp.,Tetrastrum,FALSE,Tetrastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Chlorolobion spp.,Chlorolobion,FALSE,Chlorolobion,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Micractinium spp.,Micractinium,FALSE,Micractinium,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Westella botryoides,Westella botryoides,TRUE,Westella,botryoides,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Actinastrum spp.,Actinastrum,FALSE,Actinastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Eutetramorus spp.,Eutetramorus,FALSE,Eutetramorus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Crucigeniella spp.,Crucigeniella,FALSE,Crucigeniella,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum spp.,Pediastrum,FALSE,Pediastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Didymocystis spp.,Didymocystis,FALSE,Didymocystis,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum spp.,Coelastrum,FALSE,Coelastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Ankistrodesmus spp.,Ankistrodesmus,FALSE,Ankistrodesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coenochloris spp.,Coenochloris,FALSE,Coenochloris,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
