MFG.num,phyto_name,Algaebase_Current_14Aug2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
10b,Mougeotia spp.,Mougeotia,FALSE,Mougeotia,,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
10c,Tribonema spp.,Tribonema,FALSE,Tribonema,,10c-FilaXant,CR,0,1,NA,1,NA,NA,NA,1
10c,Tribonema angustissimum,Tribonema angustissimum,TRUE,Tribonema,angustissimum,10c-FilaXant,CR,0,1,NA,1,NA,NA,NA,1
11a,Actinastrum fluviatile,Actinastrum fluviatile,TRUE,Actinastrum,fluviatile,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Actinastrum hantzschii,Actinastrum hantzschii,TRUE,Actinastrum,hantzschii,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Actinastrum spp.,Actinastrum,FALSE,Actinastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Didymocystis spp.,Didymocystis,FALSE,Didymocystis,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus intermedius,Desmodesmus intermedius,FALSE,Desmodesmus,intermedius,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus linearis,Scenedesmus ellipticus,FALSE,Scenedesmus,ellipticus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum astroideum,Coelastrum astroideum,TRUE,Coelastrum,astroideum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum microporum,Coelastrum microporum,TRUE,Coelastrum,microporum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Tetrastrum glabrum,Tetrastrum glabrum,TRUE,Tetrastrum,glabrum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum boryanum,Pseudopediastrum boryanum,FALSE,Pseudopediastrum,boryanum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus abundans,Desmodesmus abundans,FALSE,Desmodesmus,abundans,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Crucigeniella spp.,Crucigenia,FALSE,Crucigenia,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum spp.,Pediastrum,FALSE,Pediastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus armatus,Scenedesmus armatus,TRUE,Scenedesmus,armatus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus communis,Desmodesmus communis,FALSE,Desmodesmus,communis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus denticulatus,Desmodesmus denticulatus,FALSE,Desmodesmus,denticulatus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus maximus,Desmodesmus maximus,FALSE,Desmodesmus,maximus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coenochloris polycocca,Radiococcus polycoccus,FALSE,Radiococcus,polycoccus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum biradiatum,Parapediastrum biradiatum,FALSE,Parapediastrum,biradiatum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum duplex,Pediastrum duplex,TRUE,Pediastrum,duplex,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Tetrastrum staurogeniaeforme,Tetrastrum staurogeniaeforme,TRUE,Tetrastrum,staurogeniaeforme,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum simplex,Monactinus simplex,FALSE,Monactinus,simplex,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum tetras,Stauridium tetras,FALSE,Stauridium,tetras,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Siderocelis ornata,Siderocelis ornata,TRUE,Siderocelis,ornata,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Micractinium spp.,Micractinium,FALSE,Micractinium,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus spp.,Scenedesmus,FALSE,Scenedesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
