"","date","MFG","biovol_um3_ml"
"1",2007-04-18,"11a-NakeChlor",12262.3333333333
"26",2007-04-18,"1a-LargeChry",18048
"44",2007-04-18,"2d-Crypto",864897
"64",2007-04-18,"3a-UnicPhyto",242291
"110",2007-04-18,"6b1-LColPenn",20133
"129",2007-04-18,"6b2-LUniPenn",13380
"132",2007-04-18,"8a-LargeCoCh",11613.5
"164",2007-04-18,"9b-SmallChlor",275
"182",2007-04-18,"unknown",61592
"2",2007-04-26,"11a-NakeChlor",13642
"27",2007-04-26,"1a-LargeChry",10770
"45",2007-04-26,"2d-Crypto",312806.666666667
"65",2007-04-26,"3a-UnicPhyto",79511
"133",2007-04-26,"8a-LargeCoCh",1929
"183",2007-04-26,"unknown",78385.3333333333
"3",2007-05-09,"11a-NakeChlor",31549.5
"29",2007-05-09,"1b-LargeDino",10339
"46",2007-05-09,"2d-Crypto",401408.333333333
"66",2007-05-09,"3a-UnicPhyto",3403
"111",2007-05-09,"6b1-LColPenn",1261
"134",2007-05-09,"8a-LargeCoCh",2312
"165",2007-05-09,"9b-SmallChlor",6438
"184",2007-05-09,"unknown",194880.5
"4",2007-05-21,"11a-NakeChlor",6239
"21",2007-05-21,"11b-GelaChlor",5649
"28",2007-05-21,"1a-LargeChry",3582
"47",2007-05-21,"2d-Crypto",392317
"67",2007-05-21,"3a-UnicPhyto",15821
"77",2007-05-21,"5b-LargeVacC",32
"93",2007-05-21,"5e-Nostocales",4583
"112",2007-05-21,"6b1-LColPenn",6252.5
"135",2007-05-21,"8a-LargeCoCh",11069.5
"166",2007-05-21,"9b-SmallChlor",4758
"185",2007-05-21,"unknown",85376.5
"5",2007-05-30,"11a-NakeChlor",16785
"30",2007-05-30,"1b-LargeDino",102112
"43",2007-05-30,"2a-SmallChry1",4473
"48",2007-05-30,"2d-Crypto",307780
"68",2007-05-30,"3a-UnicPhyto",7668
"113",2007-05-30,"6b1-LColPenn",22552
"136",2007-05-30,"8a-LargeCoCh",25919.3333333333
"167",2007-05-30,"9b-SmallChlor",1967
"186",2007-05-30,"unknown",33470
"6",2007-06-11,"11a-NakeChlor",51540
"31",2007-06-11,"1b-LargeDino",48816
"49",2007-06-11,"2d-Crypto",155811
"78",2007-06-11,"5b-LargeVacC",9559.5
"114",2007-06-11,"6b1-LColPenn",2045553.5
"137",2007-06-11,"8a-LargeCoCh",182087.5
"168",2007-06-11,"9b-SmallChlor",6238
"187",2007-06-11,"unknown",237790
"7",2007-06-18,"11a-NakeChlor",67422.5
"32",2007-06-18,"1b-LargeDino",1055730
"50",2007-06-18,"2d-Crypto",345006.5
"69",2007-06-18,"3a-UnicPhyto",18301
"70",2007-06-18,"3b-ColoPhyto",88
"79",2007-06-18,"5b-LargeVacC",304940
"94",2007-06-18,"5e-Nostocales",9492
"115",2007-06-18,"6b1-LColPenn",12583088
"138",2007-06-18,"8a-LargeCoCh",144146
