"","date","biovol_um3_ml"
"1",2007-04-18,556813
"2",2007-04-26,320339.25
"3",2007-05-09,421680.75
"4",2007-05-21,360432.25
"5",2007-05-30,338531.5
"6",2007-06-11,1432839.75
"7",2007-06-18,7271456
"8",2007-06-28,3995990.75
"9",2007-07-05,2964132.5
"10",2007-07-16,602695.25
"11",2007-07-23,1801274.5
"12",2007-07-31,1365885.25
"13",2007-08-09,4781782.5
"14",2007-08-16,2973723.25
"15",2007-08-27,5389731
"16",2007-09-05,1582439.25
"17",2007-09-12,4163540.25
"18",2007-09-24,4106047.75
"19",2007-10-03,2176772.5
"20",2007-10-16,621128.75
