MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
10b,Mougeotia sp.,Mougeotia,FALSE,,Mougeotia,,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
11a,Actinastrum hantzschii,Actinastrum hantzschii,TRUE,,Actinastrum,hantzschii,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Ankistrodesmus fusiformis,Ankistrodesmus fusiformis,TRUE,,Ankistrodesmus,fusiformis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus ecornis,Scenedesmus ecornis,TRUE,,Scenedesmus,ecornis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus spinosus,Desmodesmus spinosus,FALSE,,Desmodesmus,spinosus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Botryococcus sp.,Botryococcus,FALSE,,Botryococcus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum astroideum,Coelastrum astroideum,TRUE,,Coelastrum,astroideum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus ovalternus,Scenedesmus obtusus,FALSE,,Scenedesmus,obtusus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Micractinium pusillum,Micractinium pusillum,TRUE,,Micractinium,pusillum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Tetrastrum sp.,Tetrastrum,FALSE,,Tetrastrum,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum tetras,Stauridium tetras,FALSE,,Stauridium,tetras,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Didymocystis bicellularis,Desmodesmus bicellularis,FALSE,,Desmodesmus,bicellularis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus denticulatus v. linearis,Desmodesmus denticulatus var. linearis,FALSE,,Desmodesmus,denticulatus linearis,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum sphaericum,Coelastrum sphaericum,TRUE,,Coelastrum,sphaericum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus sp.,Scenedesmus,FALSE,,Scenedesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum kawraiskyi,Pseudopediastrum kawraiskyi,FALSE,,Pseudopediastrum,kawraiskyi,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Ankistrodesmus bibraianus,Selenastrum bibraianum,FALSE,,Selenastrum,bibraianum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus bicaudatus,Scenedesmus bicaudatus,TRUE,,Scenedesmus,bicaudatus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Scenedesmus quadricauda,Scenedesmus quadricauda,TRUE,,Scenedesmus,quadricauda,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Ankistrodesmus sp.,Ankistrodesmus,FALSE,,Ankistrodesmus,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum boryanum ,Pseudopediastrum boryanum,FALSE,,Pseudopediastrum,boryanum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Pediastrum duplex,Pediastrum duplex,TRUE,,Pediastrum,duplex,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Coelastrum cambricum,Coelastrum cambricum,TRUE,,Coelastrum,cambricum,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11b,Dictyosphaerium ehrenbergianum,Dictyosphaerium ehrenbergianum,TRUE,,Dictyosphaerium,ehrenbergianum,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
11b,Dictyosphaerium sp.,Dictyosphaerium,FALSE,,Dictyosphaerium,,11b-GelaChlor,S,0,1,NA,1,NA,1,NA,0
