MFG.num,original_phyto_name,phyto_name,Algaebase_Current_22Sep2017,Match.,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
10a,Geminella TURPIN 1828 sp.,Geminella,Geminella,TRUE,Geminella,,10a-FilaChlorp,R,0,1,NA,1,NA,NA,NA,1
10a,Ulothrix K?ZING 1833 sp/Geminella TURPIN 1828 sp. (uncertain which),Ulothrix K?ZING 1833 sp/Geminella TURPIN 1828 sp. (uncertain which),Ulothrix or Geminella,FALSE,Ulothrix,or,10a-FilaChlorp,R,0,1,NA,1,NA,NA,NA,1
10a,Ulothrix K?ZING 1833 sp.,Ulothrix,Ulothrix,TRUE,Ulothrix,,10a-FilaChlorp,R,0,1,NA,1,NA,NA,NA,1
10a,Cladophora,Cladophora,Cladophora,TRUE,Cladophora,,10a-FilaChlorp,R,0,1,NA,1,NA,NA,NA,1
10b,Spondylosium planum (WOLLE) W & G.S.WEST 1912,Spondylosium planum,Spondylosium planum,TRUE,Spondylosium,planum,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
10b,Mougeotia (AGARDH) WITTROCK 1872 sp.,Mougeotia,Mougeotia,TRUE,Mougeotia,,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
10b,Spondylosium BREBISSON sp.,Spondylosium,Spondylosium,TRUE,Spondylosium,,10b-FilaConj,R,0,1,NA,1,NA,NA,NA,1
11a,Coenochloris KORSHIKOV 1953 sp.,Coenochloris,Coenochloris,TRUE,Coenochloris,,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Quadricoccus ellipticus HORTOBAGYI,Quadricoccus ellipticus,Quadricoccus ellipticus,TRUE,Quadricoccus,ellipticus,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
11a,Crucigenia fenestrata (Schmidle) Schmidle 1900,Crucigenia fenestrata,Crucigenia fenestrata,TRUE,Crucigenia,fenestrata,11a-NakeChlor,CR,0,1,NA,1,NA,0,NA,0
