Genus + species name,Empire,Kingdom,Subkingdom,Phylum,Class,Order,Family,Genus,Species,Kind of infraspecific level: var./f./ssp.,Infraspecific name,Determination uncertainty level,Authorities,Class sensu Bourrelly (1974),INRA code,Cell length µm,Cell width µm,Cell thickness µm,Geometrical shape of the cell,Multiplicative factor to the geometrical shape to get the cell biovolume,Dividing factor to the geometrical shape to get the cell surface area,Cell surface area µm²,Cell biovolume µm3,Number of cells per colony,Cumulated surface area of cells in a colony µm²,Cumulated biovolume of cells in a colony µm3,Colony length (takes into account mucilage) µm,Colony width (takes into account mucilage) µm,Colony thickness (takes into account mucilage) µm,Geometrical shape of the colony,Multiplicative factor to the geometrical shape to get the colony biovolume (without mucilage),Dividing factor to the geometrical shape to get the colony surface area (take into account mucilage),Colony surface area µm² (with mucilage),Colony biovolume µm3 (without mucilage),Reference biovolume,Maximal length of the algal object,Notes on biovolumes,Organic carbon ratio (Wetzel et Likens 2000),Functional groups (Reynolds 2002),Functional groups (Padisak 2009),Morpho-classification (Kruk 2010),Nano/microphytoplankton,Mobility apparatus,Mobility apparatus: Flagella,Mobility apparatus: Raphe,Colonial,Filament,Heterotrophic,Mixotrophic,Autotrophic,<=5,8-May,15-Aug,15-30,30-60,>60
Achroonema articulatum,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Pseudanabaenaceae,Achroonema,articulatum,,,,Skuja,Cyanobactéries,11700,3,3,3,trel,1,1,96.91,14.13,30,2907.2,423.9,100,3,3,tube,1,1,956.13,706.5,706.9,100,Averages from literature,0.22,,,IV,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena affinis,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,affinis,,,,Lemmermann,Cyanobactéries,10729,7,7,7,trel,1,1,490.83,179.5,14,6871.65,2513.05,100,7,7,tube,0.8,0.8,2294.16,3077.2,3077.2,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena aphanizomenoïdes,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,aphanizomenoïdes,,,,Forti,Cyanobactéries,10732,4,4,4,trel,1,1,166.38,33.49,25,4159.4,837.33,100,4,4,tube,1,1,1281.12,1256,1256,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena bergii var. limneticum,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,bergii,var.,limneticum,,Couté & Preisig,Cyanobactéries,10770,5.2,5.2,5.2,trel,1,1,275.23,73.58,19,5229.28,1398.11,100,5.2,5.2,tube,1,1,1675.25,2122.64,2123.7,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena bergii,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,bergii,,,,Ostenfeld,Cyanobactéries,10771,5.2,5.2,5.2,trel,1,1,275.23,73.58,19,5229.28,1398.11,100,5.2,5.2,tube,1,1,1675.25,2122.64,2123.7,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena circinalis,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,circinalis,,,,Rabenhorst,Cyanobactéries,10730,8,8,8,trel,1,1,637.8,267.95,10,6378.01,2679.47,80,8,8,tube,1,1,2110.08,4019.2,4021.2,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena circinalis f. tenuis,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,circinalis,f.,tenuis,,West & G.S.West,Cyanobactéries,10731,8,6,8,trel,1,1,561.49,200.96,10,5614.9,2009.6,80,6,8,tube,1,1,1607.68,2260.8,3072,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena flos-aquae,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,flos-aquae,,,,Brébisson,Cyanobactéries,10720,5,5,5,trel,1,1,255.15,65.42,20,5102.96,1308.33,100,5,5,tube,1,1,1609.25,1962.5,1570.8,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena flos-aquae f. lemmermannii,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,flos-aquae,f.,lemmermannii,,(P.G.Richter) Canabaeus,Cyanobactéries,10733,3.5,3.5,3.5,trel,1,1,129.23,22.44,29,3747.8,650.7,100,3.5,3.5,tube,1,1,1118.23,961.63,961.625,100,Averages from literature,0.22,H2,H2,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena flos-aquae var. treleasii,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,flos-aquae,var.,treleasii,,Bornet & Flahault,Cyanobactéries,10750,3.5,3.5,3.5,trel,1,1,129.23,22.44,29,3747.8,650.7,100,3.5,3.5,tube,1,1,1118.23,961.63,769.7,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena macrospora,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,macrospora,,,,Klebahn,Cyanobactéries,10740,9,9,9,trel,1,1,804.21,381.51,11,8846.32,4196.61,100,9,9,tube,1,1,2953.17,6358.5,6358.5,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena oscillarioides f. elliptica,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,oscillarioïdes,f.,elliptica,,(Kisselev) Elenkin,Cyanobactéries,10734,5,5,5,trel,1,1,255.15,65.42,20,5102.96,1308.33,100,5,5,tube,1,1,1609.25,1962.5,1962.5,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena oscillarioides,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,oscillarioïdes,,,,Bory ex Bornet & Flahault,Cyanobactéries,10739,5,5,5,trel,1,1,255.15,65.42,20,5102.96,1308.33,100,5,5,tube,1,1,1609.25,1962.5,1962.5,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena solitaria,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,solitaria,,,,Klebahn,Cyanobactéries,10735,11,11,5,trel,1,1,905.85,316.62,9,8152.61,2849.55,100,11,5,tube,1,1,3493.25,9498.5,4317.5,100,Averages from literature,0.22,H2,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena solitaria var. planctonica,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,solitaria,var.,planctonica,,Klebahn,Cyanobactéries,10736,7.5,7.5,4,trel,1,1,442.71,117.75,13,5755.17,1530.75,100,7.5,4,tube,1,1,2380.12,4415.63,2355,100,Averages from literature,0.22,H2,H2,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena sp.,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,sp.,,,Species,Bory de St Vincent,Cyanobactéries,10700,4,4,4,trel,1,1,166.38,33.49,25,4159.4,837.33,100,4,4,tube,1,1,1281.12,1256,1005.3,100,Averages from literature,0.22,,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena spiroides,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,spiroides,,,,Klebahn,Cyanobactéries,10737,7,7,7,trel,1,1,490.83,179.5,14,6871.65,2513.05,100,7,7,tube,1,1,2274.93,3846.5,3846.5,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Anabaena spiroides f. minima,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,spiroides,f.,minima,,(Nygaard) Kossinskaja,Cyanobactéries,10738,7,7,7,trel,1,1,490.83,179.5,14,6871.65,2513.05,100,7,7,tube,1,1,2274.93,3846.5,3846.5,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Aphanizomenon flos-aquae,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,"flos-	aquae				",,,,(Linnaeus) Ralfs,Cyanobactéries,10810,5,5,5,trel,1,1,255.15,65.42,20,5102.96,1308.33,100,5,5,tube,1,1,1609.25,1962.5,1963,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,0,0,0,1,4,5
Aphanizomenon flos-aquae var. gracile,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,"flos-	aquae				",var.,gracile,,Lemmermann,Cyanobactéries,10811,5,3.5,3.5,trel,1,1,178.6,32.05,20,3572.07,641.08,100,3.5,3.5,tube,1,1,1118.23,961.63,961.625,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
Aphanizomenon issatschenkoi,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Aphanizomenon,issatschenkoi,,,,(Usacev) Proshkina-Lavrenko,Cyanobactéries,10812,10,3.5,3.5,trel,1,1,346.52,64.11,10,3465.25,641.08,100,10,3.5,tube,1,1,3159.23,7850,7850,100,Averages from literature,0.22,H1,H1,III,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
