Taxa,,MLD,SA,V,SA/V,CSR,FG,GS
Anabaena,aphanizomenoides,164.4,2369.9,2515.3,1.1,R,H1,Ellipsoid
Anabaenopsis,circularis,50.1,497.8,318.5,1.6,R,H1,Ellipsoid
Anabaenopsis,tanganyikae,92.8,1564.7,1498.3,1.2,R,H1,Ellipsoid
Aphanocapsa,delicatissima,29.1,3947.2,28278.5,0.2,S,K,Sphere
Coelosphaerium,kuetzingianum,21.4,1454.4,5298.2,0.3,R-S,Lo,Sphere
Chroococcus,dispersus,20.16,1142.8,6776.7,0.2,S,K,Ellipsoid
Chroococcus,minutus,9.6,296.7,291.3,1.3,C,K,Sphere
Merismopedia,minima,5.1,46.6,12.4,4.4,C,Lo,Rectangular
Merismopedia,tenuissima,14.8,551,327.7,1.7,C,Lo,Rectangular
Microcystis,aeruginosa,33.3,4482.5,37442.3,0.2,S,M,Sphere
Microcystis,pseudofilamentosa,35.7,4474.3,31707.4,0.2,S,M,Sphere
Nodularia,spumigena,1350,13394.5,24408.6,0.7,R,,Cylinder
Pseudanabaena,limnetica,66.6,475.3,317.1,2.3,R,S1,Cylinder
Oscillatoria,tenuis,375.9,4976.6,4774.6,1.1,R,S1,Cylinder
Rhaphidiopsis,mediterranea,149.8,1227.7,963.2,1.5,R,SN,Cylinder
Spirulina,abbreviata,28.7,250.5,161.9,1.6,R,S2,Cylinder
Spirulina,laxissima,64.4,313,127.4,2.8,R,S2,cClinder
Cyclotella,glomerata,7,78.8,124.8,0.7,C-R,A,Cylinder
Cyclotella,meneghiniana,12.4,595.1,986,0.7,R,C,Cylinder
Entomoneis,alata,48,1175,6453,0.18,S,MP,Elliptic
Epithemia,sorex,31,958.2,2429.4,0.4,R,MP,Ellipsoid
Navicula,cryptocephala,27.6,301.7,361.2,0.9,R,MP,Bicone
Navicula,mutica,27.6,465.7,726.3,0.6,R,MP,Ellipsoid
Navicula,radiosa,70.5,1640,4395.4,0.4,R-S,MP,Double
Nitzschia,acicularis,43.8,207.7,111.2,1.9,R,D,Bicone
Nitzschia,palea,31.2,190.9,144.8,1.3,R,D,Bicone
Nitzschia,romana,8.8,25.5,8.5,3,C,D,Bicone
Planothidium,lanceolatum,12.8,514.7,823.6,0.6,R,TB,Elliptic
Ulnaria,delicatissima,148,1583.4,721.4,0.9,R,D,Double
Ulnaria,ulna,110,857.8,752.2,1.1,R,D,Bicone
Euglena,sp.,23.9,1174,4678.2,0.5,R,W1,Ellipsoid
Cryptomonas,pusilla,13.1,284.5,466.8,0.7,R,Y,Ellipsoid
Cryptomonas,aff. Erosa,19.2,558.3,1229.4,0.5,R,Y,Ellipsoid
Crucigenia,tetrapedia,10.1,60.8,107.6,0.5,R-C,J,Pyramid
Chlamydomonas,sp.1,10,250.9,713.2,0.6,R-C,X2,Ellipsoid
Chlamydomonas,sp.,2,7.1,171.1,226.3,0.8,C,X2
Chlorella,vulgaris,9.4,295,517.9,0.6,R-C,X1,Sphere
Kirchneriella,obesa,9.8,314.1,587.8,1,C,F,Ellipsoid
Monoraphidium,arcuatum,37.6,106,30.3,3.5,C,X1,Bicone
Monoraphidium,contortum,20.6,69.1,26.9,3.1,C,X1,Bicone
Monoraphidium,minutum,10,77.6,40.5,2,C,X1,Cylinder
Oocystis,marssonii,18.8,678.7,817.3,0.8,R,F,Ellipsoid
Oocystis,parva,16.9,491.2,570.7,1.1,R,F,Ellipsoid
Tetraedron,minimum,8.4,74.4,83.8,1,C,X1,Pyramid
