taxon,date,group,Length,Width,Colonies,shape,cell sa,cell vol,cell mld,colony shape,colony length,colony width,colony sa,colony vol,colony mld,extra source
Anabaena.affinis,6/29/2015,Cyanobacteria,7,7.3,1,Ellipsoid,158.3546689,187.291282,7.3,,,,,,,
Anabaena.circinalis,8/20/2007,Cyanobacteria,12.3,5.1,1,Ellipsoid,164.6513093,167.5112911,12.3,,,,,,,
Anabaena.circinalis,8/3/2015,Cyanobacteria,5.4,6.5,1,Ellipsoid,104.2765976,99.24291193,6.5,,,,,,,
Anabaena.circinalis,8/19/2013,Cyanobacteria,6.3,6.8,1,Ellipsoid,131.3372472,141.3151207,6.8,,,,,,,
Anabaena.circinalis,8/12/2013,Cyanobacteria,5.6,5.6,1,Ellipsoid,98.52035,91.95232258,5.6,,,,,,,
Anabaena.crassa,7/13/2009,Cyanobacteria,11,8,1,Ellipsoid,252.8806986,368.613538,11,,,,,,,
Anabaena.crassa,7/20/2009,Cyanobacteria,11,8,1,Ellipsoid,252.8806986,368.613538,11,,,,,,,
Anabaena.crassa,7/6/2010,Cyanobacteria,13,11.4,1,Ellipsoid,446.9795611,884.6096594,13,,,,,,,
Anabaena.crassa,8/20/2012,Cyanobacteria,10.7,10,1,Ellipsoid,328.9187123,560.2506899,10.7,,,,,,,
Anabaena.flos-aquae,8/13/2012,Cyanobacteria,6,5.1,1,Ellipsoid,91.48023075,81.71282492,6,cylinder,,,,,,
Anabaena.flos-aquae,7/22/2013,Cyanobacteria,5,5.3,1,Ellipsoid,81.69963412,69.37683777,5.3,cylinder,,,,,,
Anabaena.flos-aquae,8/3/2015,Cyanobacteria,5.5,6,1,Ellipsoid,100.842541,95.03317777,6,cylinder,,,,,,
Anabaena.flos-aquae,8/20/2012,Cyanobacteria,6,4.3,1,Ellipsoid,73.89215028,58.08804816,6,cylinder,,,,,,
Anabaena.flos-aquae,8/6/2012,Cyanobacteria,6,5.1,1,Ellipsoid,91.48023075,81.71282492,6,cylinder,,,,,,
Anabaena.flos-aquae,7/28/2008,Cyanobacteria,0,5,1,Ellipsoid,0,0,5,cylinder,,,,,,
Anabaena.flos-aquae,9/25/2006,Cyanobacteria,6,5,1,Ellipsoid,89.19979066,78.53981634,6,cylinder,,,,,,
Anabaena.flos-aquae,7/29/2013,Cyanobacteria,5,5.3,1,Ellipsoid,81.69963412,69.37683777,5.3,cylinder,,,,,,
Anabaena.mendotae,8/3/2015,Cyanobacteria,6,4,1,Ellipsoid,67.67287265,50.26548246,6,,,,,,,
