,Taxa.name,Class,Order,Motile,Heterotrophic,Mixotrophic,Autotrophic,Small.Large,Filament,Colonial,Geometrical.shape.of.the.cell,Gelatinous,Diatom,Cyanobacteria,Centric,aerotopes,size,genus,species
1,Achroonema articulatum,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Achroonema,articulatum
2,Anabaena affinis,Cyanobacteria,Nostocales,0,NA,NA,NA,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,affinis
3,Anabaena aphanizomenoïdes,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,aphanizomenoides
4,Anabaena bergii var. limneticum,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,bergii
5,Anabaena bergii,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,bergii
6,Anabaena circinalis,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,circinalis
7,Anabaena circinalis f. tenuis,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,circinalis
8,Anabaena flos-aquae,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,flos-aquae
9,Anabaena flos-aquae f. lemmermannii,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,flos-aquae
10,Anabaena flos-aquae var. treleasii,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,flos-aquae
11,Anabaena macrospora,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,macrospora
12,Anabaena oscillarioides f. elliptica,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,oscillarioides
13,Anabaena oscillarioides,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,oscillarioides
14,Anabaena solitaria,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,solitaria
15,Anabaena solitaria var. planctonica,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,solitaria
16,Anabaena sp.,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,
